"name","sku","category","subcategory","childcategory","product_group","unit","brand","alert_quantity","vat_percent","minimum_sale_price","minimum_wholesale_price","barcode","purchase_price","selling_price","discount_type","discount_value","wholesale_price","minimum_wholesale_quantity","size","color","opening_stock_qty","opening_stock_purchase_price_rate","author"
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045048","380","650","Amount","0","0","0","Free Size Up to 34 to 46","eight","6","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045051","380","650","Amount","0","0","0","Free Size Up to 34 to 46","nine","0","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045054","380","650","Amount","0","0","0","Free Size Up to 34 to 46","ten","17","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045056","380","650","Amount","0","0","0","Free Size Up to 34 to 46","eleven","11","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045059","380","650","Amount","0","0","0","Free Size Up to 34 to 46","tewelve","0","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87202913","380","650","Amount","0","0","0","Free Size Up to 34 to 46","thrteen","27","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87866695","380","650","Amount","0","0","0","Free Size Up to 34 to 46","fourteen","0","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","78165650","380","650","Amount","0","0","0","Free Size Up to 34 to 46","fifthen","0","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","78165653","380","650","Amount","0","0","0","Free Size Up to 34 to 46","sixthent","0","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","78270575","380","650","Amount","0","0","0","Free Size Up to 34 to 46","seventent","0","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","78522068","380","650","Amount","0","0","0","Free Size Up to 34 to 46","18","2","380",""
"Hijab & Scarf- 2","","Hijab & Scarf","","","","Pcs","","0","0","0","0","88219998","520","780","Amount","0","0","0","Free Size Up to 34 to 46","one","1","520",""
"Hijab & Scarf- 2","","Hijab & Scarf","","","","Pcs","","0","0","0","0","88220001","520","780","Amount","0","0","0","Free Size Up to 34 to 46","two","3","520",""
"Hijab & Scarf- 2","","Hijab & Scarf","","","","Pcs","","0","0","0","0","88220003","520","780","Amount","0","0","0","Free Size Up to 34 to 46","three","1","520",""
"Hijab & Scarf- 2","","Hijab & Scarf","","","","Pcs","","0","0","0","0","88220006","520","780","Amount","0","0","0","Free Size Up to 34 to 46","four","1","520",""
